data,cases,delta_cases,avg_3gg,delta_contagi_prot,ew_cases_normalized,swabs_rl,positive_swabs_percentage,new_cases,new_cases_test_percentage,cumulative_cases_screening,daily_cases_screening,var_percentage
03-lug-20,94429,109,,95,97,10150,0.936,5900,1.610,5461,72,"0,013"
04-lug-20,94531,102,,98,106,8700,1.126,5000,1.960,5525,64,"0,012"
05-lug-20,94553,22,78,111,34,5850,1.897,3500,3.171,5560,35,"0,006"
06-lug-20,94684,131,,53,347,3400,1.559,2150,2.465,5592,32,"0,006"
07-lug-20,94778,94,,71,79,10675,0.665,6300,1.127,5641,49,"0,009"
08-lug-20,94870,92,,119,70,11800,1.008,7780,1.530,5713,72,"0,013"
09-lug-20,94969,99,,135,77,11500,1.174,7100,1.901,5785,72,"0,013"
10-lug-20,95075,106,,67,136,7000,0.957,4400,1.523,5841,56,"0,010"
11-lug-20,95134,59,,77,56,9550,0.806,6300,1.222,5886,45,"0,008"
12-lug-20,95145,11,,94,15,6500,1.446,4150,2.265,5934,48,"0,008"
13-lug-20,95208,63,,30,101,5600,0.536,3640,0.824,5973,39,"0,007"
14-lug-20,95287,79,,63,68,10400,0.606,6400,0.984,5996,23,"0,004"
15-lug-20,95364,77,,80,65,10700,0.748,6500,1.231,6046,50,"0,008"
16-lug-20,95429,65,,55,59,9900,0.556,5800,0.948,6091,45,"0,007"
17-lug-20,95513,84,,88,84,9050,0.972,5255,1.675,6127,36,"0,006"
18-lug-20,95561,48,,33,62,7000,0.471,4120,0.801,6156,29,"0,005"
19-lug-20,95576,15,,56,31,4300,1.302,2720,2.059,6181,25,"0,004"
20-lug-20,95648,72,,34,108,6000,0.567,3800,0.895,6200,19,"0,003"
21-lug-20,95717,69,,51,116,5360,0.951,5000,1.020,6233,33,"0,005"
22-lug-20,95777,60,,82,36,15000,0.547,7200,1.139,6289,56,"0,009"
23-lug-20,95870,93,,53,85,9850,0.538,5600,0.946,6318,29,"0,005"
24-lug-20,95951,81,,79,68,10700,0.738,6175,1.279,6365,47,"0,007"
25-lug-20,95991,40,,74,45,8000,0.925,4700,1.574,6400,35,"0,005"
26-lug-20,96006,15,,34,34,4000,0.850,2550,1.333,6424,24,"0,004"
27-lug-20,96072,66,,53,94,6300,0.841,4000,1.325,6448,24,"0,004"
28-lug-20,96125,53,,46,55,8600,0.535,5100,0.902,6487,39,"0,006"
29-lug-20,96142,17,,88,14,11200,0.786,7200,1.222,6487,0,"0,000"
30-lug-20,96219,77,,77,83,8350,0.922,6400,1.203,6595,108,"0,017"
31-lug-20,96274,55,,55,59,8400,0.655,5000,1.100,6623,28,"0,004"
01-ago-20,96312,38,,38,44,7700,0.494,4500,0.844,6636,13,"0,002"
02-ago-20,96337,25,,25,54,4200,0.595,2580,0.969,6648,12,"0,002"
03-ago-20,96381,44,,44,69,5700,0.772,3640,1.209,6677,29,"0,004"
04-ago-20,96519,138,,138,134,9250,1.492,5440,2.537,6705,28,"0,004"
05-ago-20,96637,118,,118,118,8980,1.314,5430,2.173,6750,45,"0,007"
06-ago-20,96706,69,,69,77,8100,0.852,4450,1.551,6782,32,"0,005"
07-ago-20,96782,76,,76,107,6380,1.191,3730,2.038,6812,30,"0,004"
08-ago-20,96853,71,,71,98,6500,1.092,3550,2.000,6838,26,"0,004"
09-ago-20,96884,31,,31,30,9300,0.333,1600,1.938,6846,8,"0,001"
10-ago-20,96952,68,,68,136,4500,1.511,2775,2.450,6871,25,"0,004"
11-ago-20,97054,102,,102,115,7950,1.283,4320,2.361,6904,33,"0,005"
12-ago-20,97128,74,,74,93,7170,1.032,3800,1.947,6940,36,"0,005"
13-ago-20,97225,97,,97,117,7450,1.302,4000,2.425,6976,36,"0,005"
14-ago-20,97319,94,,94,121,7000,1.343,3000,3.133,7000,24,"0,003"
15-ago-20,97380,61,,61,112,4900,1.245,3170,1.924,7015,15,"0,002"
16-ago-20,97423,43,,43,93,4150,1.036,2550,1.686,7023,8,"0,001"
17-ago-20,97473,50,,50,81,5550,0.901,3780,1.323,7043,20,"0,003"
18-ago-20,97564,91,,91,91,9000,1.011,5800,1.569,7070,27,"0,004"
19-ago-20,97715,151,,151,99,13750,1.098,8800,1.716,7135,65,"0,009"
20-ago-20,97889,174,,174,146,10700,1.626,7000,2.486,7223,88,"0,012"
21-ago-20,98074,185,,211,128,13000,1.623,9000,2.344,,,
22-ago-20,98313,239,,213,158,13600,1.566,10400,2.048,7275,7275,
